_c0	_c1	_c2	_c3
0	E	1	1999-02-28
1	A	2	1999-10-28
2	B	5	1998-05-02
3	A	3	1999-08-28
4	C	6	1999-12-01
5	A	7	1998-07-28
6	A	9	1997-02-28
7	B	1	1999-05-10
8	E	2	1997-04-12
9	B	3	1999-11-23
10	C	7	1998-01-17
11	C	5	1998-12-28
12	D	3	1999-10-15
13	E	8	1998-11-01
14	B	9	1999-08-12
15	D	1	1997-12-01
16	E	3	1997-07-28
17	D	5	1998-08-12
18	E	8	1999-08-24
19	E	9	1998-01-23
20	E	7	1999-06-22
21	E	3	1999-04-24
22	D	5	1999-06-25
23	A	1	1999-08-25
24	E	4	1997-07-26
25	E	6	1997-09-24
26	A	8	1997-09-28
27	E	5	1999-06-22
28	A	6	1999-07-29
29	C	0	1999-08-22
30	A	1	1998-04-26
31	D	2	1998-02-24
32	E	5	1999-03-24
33	B	4	1998-03-23
34	B	6	1999-04-21
35	D	7	1999-02-29
36	B	8	1997-05-21
37	C	9	1997-07-22
38	E	1	1999-09-28
39	E	5	1998-01-26
