_c0	_c4
0	b
0	g
0	f
1	a
1	f
1	c
2	f
2	e
2	a
2	c
3	a
3	b
4	f
4	g
4	d
4	a
5	c
5	d
6	g
6	d
6	a
7	b
7	a
8	d
8	e
8	a
8	f
9	d
9	b
9	g
9	f
10	d
10	c
10	f
10	b
11	d
11	e
11	a
11	c
12	g
12	e
12	f
12	b
13	c
13	f
14	d
14	b
15	f
15	e
16	e
16	b
16	f
17	g
17	a
18	e
18	c
18	f
18	a
19	e
19	a
20	e
20	f
21	c
21	b
21	g
22	c
22	f
22	a
23	f
23	a
23	d
24	c
24	d
25	e
25	d
25	c
26	a
26	e
26	f
27	c
27	a
27	g
28	f
28	e
29	f
29	c
29	a
29	g
30	b
30	f
31	b
31	f
32	a
32	c
33	b
33	f
33	c
34	f
34	a
34	e
35	a
35	f
36	c
36	a
37	c
37	a
37	e
37	f
38	e
38	d
39	f
39	a
39	d
