_c0	_c5a	_c5b
0	jjj	3
0	bbb	0
0	ddd	9
0	ggg	8
0	hhh	2
1	ccc	2
1	ddd	0
1	aaa	3
1	hhh	9
2	ddd	2
2	ggg	5
2	ccc	6
2	jjj	1
3	hhh	9
3	iii	5
3	eee	7
3	bbb	1
4	iii	6
4	ddd	5
4	eee	4
4	jjj	3
5	bbb	2
5	hhh	0
5	ccc	4
5	fff	1
5	aaa	7
6	aaa	5
6	fff	8
6	ddd	2
6	iii	0
6	jjj	7
6	ccc	1
7	fff	3
7	hhh	1
7	ddd	2
8	eee	4
8	ccc	5
8	iii	9
8	fff	7
8	ggg	6
8	bbb	0
9	bbb	7
9	jjj	9
9	fff	5
9	iii	4
9	ggg	2
9	eee	3
10	hhh	6
10	eee	4
10	iii	0
10	fff	2
10	jjj	1
11	bbb	7
11	iii	6
11	ggg	9
12	bbb	9
12	aaa	3
12	ccc	6
12	fff	4
12	eee	2
13	aaa	8
13	ddd	5
13	jjj	1
14	ccc	0
14	jjj	6
14	fff	7
14	ddd	3
14	aaa	2
15	ccc	0
15	eee	6
15	bbb	9
15	ddd	3
16	bbb	6
16	iii	3
16	hhh	5
16	fff	4
16	ggg	9
16	ddd	2
17	hhh	4
17	jjj	5
17	ccc	9
18	ccc	1
18	iii	6
18	fff	9
19	bbb	9
19	aaa	3
19	fff	1
20	ddd	9
20	iii	2
20	aaa	4
21	ccc	5
21	fff	8
21	iii	7
22	eee	3
22	jjj	2
22	ddd	7
23	jjj	1
23	ggg	0
23	ccc	7
23	ddd	9
23	bbb	3
24	jjj	6
24	ccc	0
24	aaa	1
24	hhh	9
24	iii	7
24	ggg	8
25	fff	3
25	eee	6
25	iii	4
25	bbb	7
25	ddd	0
25	ccc	1
26	fff	0
26	ddd	5
26	ccc	4
27	ggg	6
27	hhh	3
27	ddd	9
27	ccc	0
27	jjj	7
28	hhh	6
28	jjj	0
28	eee	5
28	iii	7
28	ccc	3
29	eee	1
29	fff	4
29	aaa	2
29	ccc	7
29	ggg	0
29	ddd	6
30	ccc	6
30	aaa	9
30	eee	5
30	ddd	0
30	bbb	3
31	bbb	7
31	hhh	1
31	aaa	6
31	iii	4
31	fff	9
31	ddd	5
32	fff	3
32	ccc	1
32	ggg	2
32	eee	5
33	iii	7
33	ggg	3
33	ddd	0
33	jjj	8
33	hhh	5
33	ccc	1
34	hhh	6
34	ccc	3
34	jjj	0
34	bbb	8
34	ddd	7
35	aaa	0
35	fff	5
35	ddd	3
36	ddd	5
36	jjj	2
36	iii	7
36	ccc	0
36	bbb	4
37	eee	0
37	fff	2
37	hhh	6
38	fff	9
38	iii	2
38	eee	0
39	hhh	8
39	ggg	3
39	jjj	5
